lat,lon,name
48.8359164,2.4062185,Subway
48.8471787,2.3866836,McDonald's
48.8471891,2.3077032,Traiteur Asiatique
48.8510712,2.3097402,Le P'tit Ministère
48.851385,2.3102048,Apeti Segur
48.8732408,2.3533391,Proper Fried Chicken
48.8795589,2.354257,Subway
48.8796845,2.3543206,Popeyes
48.8503643,2.384972,Ye Lin
48.8455653,2.3121994,Rosette & Cornichon
48.876635,2.3353161,Pin-Pan
48.8244109,2.3255616,Lunch Express
48.8251412,2.3653488,Tonton La Frite
48.8966206,2.3871195,McDonald's
48.8712861,2.3349203,Burger King
48.8713129,2.3350843,McDonald's
48.8469792,2.3690551,ABC Délice
48.8230746,2.3579144,Pizza 140
48.879288,2.3773054,Itzik
48.8833528,2.3881059,Moshiko
48.8761563,2.3441613,McDonald's
48.8847184,2.3671039,Soleil Liban
48.8355297,2.3861736,Le Commis Sert
48.8462737,2.375509,La Boîte à Sandwichs
48.8712904,2.3768461,Eatime
48.8775239,2.3395383,Maison Zhang
48.8603926,2.2748938,Le Petit 97 Bio
48.8625399,2.2760893,Deli's Café
48.8625589,2.2762743,Mac Doner
48.8630577,2.2765543,Délice Impérial
48.8678398,2.2813384,McDonald's
48.8681953,2.282156,Matsuri
48.8500824,2.3837411,Le Nilu's
48.8768931,2.3327041,Lucien
48.8769081,2.3380397,Paristanbul
48.8714703,2.3420416,Mezzencore
48.8715371,2.3499815,Bulliz
48.8759259,2.3559201,Kebap Haus
48.8782003,2.3567013,Eattos
48.8792586,2.3573016,Orient Express
48.8783334,2.3564225,Bombay Palace
48.8828255,2.3711188,Lunch Club
48.8828578,2.3714062,Asie Ye
48.8662573,2.3370528,Bistrot Richelieu
48.8699611,2.3351928,Délices Moshé
48.8685831,2.3366834,Happa Teï
48.8648457,2.3746468,Hewi
48.8649463,2.3745576,Le Camion Qui Fume
48.870349,2.3317039,Five Guys
48.8798285,2.354258,Burger King
48.8799786,2.3538055,McDonald's
48.879891,2.3540887,Berliner
48.8799229,2.3539989,Asia Express
48.8535604,2.4103242,Chicken's King
48.8533426,2.4103453,McDonald's
48.8530681,2.4104272,Big Farmer
48.837267,2.2787578,Lina
48.8674425,2.3361747,Juji Ya
48.827741,2.3261743,KFC
48.8283989,2.3276848,McDonald's
48.8290544,2.3276046,Burger King
48.8234685,2.3234614,Les Délices d'Orléans
48.8491992,2.3746133,Miam Miam Gourmet
48.844059,2.3309583,Subway
48.8912809,2.373301,Saveur 19
48.8912906,2.3732373,Shayan Crêpe
48.8907391,2.37624,Grill Istanbul
48.8912655,2.3733889,Royal Kebab
48.8913678,2.3728055,So'Fast
48.8689587,2.3676791,McDonald's
48.8534593,2.2901463,Banh & me
48.8743099,2.3349677,Le Mandarin Provence
48.8941309,2.3464051,Nostra Pizza
48.870326,2.35968,Hoa Sheng
48.8702519,2.3608939,Wakoya
48.870339,2.360958,Sandwicherie de l'Étoile
48.8713609,2.3621653,El Guacamole
48.87188,2.362623,Bopome
48.8433391,2.3495909,Poke House
48.8446965,2.3491214,Kapris Kebab
48.893329,2.347965,Ikko
48.8442142,2.3394025,Friends caffé
48.8406254,2.3514242,Banh Mi Viet
48.842285,2.3428812,Frnji
48.8445475,2.3489869,Au Vieux Cèdre
48.8438395,2.349328,Oroyona
48.875436,2.3230438,Kokemaki
48.8272506,2.3324296,Exo Exquis
48.8524138,2.4039321,Domino's
48.8526347,2.4037316,Pizza di Napoli
48.8334062,2.3093323,Vernazza
48.8436931,2.3250669,Crèperie Henri
48.8791933,2.3537222,Domino's
48.8511306,2.3762533,McDonald's
48.8513051,2.376541,Sushi Shop
48.8354795,2.3859524,L'escale de Bercy
48.8353707,2.3857553,Wok
48.8235218,2.3535125,Resto Délice
48.8332582,2.3868999,Five Guys
48.8695686,2.3540691,KFC
48.8727754,2.3542137,Munich Kebab
48.8751277,2.3356357,Bento 9
48.8721385,2.3402693,McDonald's
48.8710539,2.3468277,Pomme de Pain
48.869624,2.3521021,Wokantine
48.8709012,2.3471884,Croc & Gourmandises
48.8816031,2.3282156,Délices 9ème
48.8815556,2.3282349,Végé Table
48.8820869,2.3282092,Shine Garden
48.8810608,2.3284577,Ma'loa
48.8816188,2.3284123,Popotes
48.8743562,2.3331088,Cojean
48.8741989,2.3323945,Daily Monop
48.8743316,2.332237,Mi-va-mi
48.8741996,2.3346158,Le Printemps de Jade
48.8743366,2.3324942,Pomme de Pain
48.8743269,2.3319969,Pomme de Pain
48.8742352,2.3331688,Traiteur Chez Victor
48.8743346,2.3323904,Traiteur Paris Gourmand
48.833425,2.3538574,Subway
48.8770037,2.340674,Domino's
48.8763841,2.3396912,Restaurant Kemer
48.833932,2.2905002,Five Pizza Original
48.8333665,2.2888984,Sucré &Salé
48.8712127,2.3428611,Label’ge Frite
48.8245312,2.3763864,GFC Restaurant
48.8965126,2.338596,Star Food
48.8977404,2.3441141,KFC
48.8973837,2.3440556,Occo
48.8972576,2.3445957,McDonald's
48.8959431,2.3465728,McDonald's
48.8958845,2.3378271,La Tipica
48.8939425,2.3332789,Sabaidi cook
48.8940193,2.3281208,Tafa Traiteur
