lat,lon,name,type
48.8495044,2.3793334,Snackmexico,Fastfood
48.8465065,2.3730628,Lerapidedelyon,Fastfood
48.8465204,2.3733044,Hayashisushi,Fastfood
48.8772291,2.4062673,Mcdonalds,Fastfood
48.8576118,2.2776817,Mcdonalds,Fastfood
48.8599401,2.2804099,Planètesushi,Fastfood
48.8606416,2.282689,Manjéco,Fastfood
48.877682,2.284676,Mcdonalds,Fastfood
48.8566763,2.2861188,Burgerking,Fastfood
48.8413551,2.3134214,Viadiroma,Fastfood
48.8800093,2.3669152,Newsoulfoodlemaquis,Fastfood
48.883301,2.3854417,Mcdonalds,Fastfood
48.8235582,2.3253743,Subway,Fastfood
48.823257,2.3263561,Grilladesistanbul,Fastfood
48.8225466,2.3275974,Restaurantpizzeria,Fastfood
48.8777273,2.261918,Leskiosquesdelapataugeoire,Fastfood
48.8414876,2.3868742,Dominos,Fastfood
48.885445,2.2920818,Mcdonalds,Fastfood
48.871151,2.3741791,Sucrésaléchapatiroyal,Fastfood
48.8710156,2.3742702,Pachakebab,Fastfood
48.8478128,2.3978063,Burgerking,Fastfood
48.8480088,2.3759639,Labelvie,Fastfood
48.8467534,2.3735713,Somuch,Fastfood
48.8765075,2.2877051,Classcroute,Fastfood
48.8521335,2.3485297,Subway,Fastfood
48.8452314,2.3492015,Linstantlibanais,Fastfood
48.8387673,2.3573269,Dominos,Fastfood
48.8488396,2.2977794,Mcdonalds,Fastfood
48.8569001,2.303583,Lartisanduburger,Fastfood
48.8498801,2.3743431,Misterloclac,Fastfood
48.8453323,2.3768682,Lesplanade,Fastfood
48.8231634,2.3625006,Senghong順興banhmidacbiet,Fastfood
48.8451682,2.2609752,Eatmeat,Fastfood
48.8456665,2.259124,Délicesdasiechanez,Fastfood
48.8452385,2.2581442,Molicrêpes,Fastfood
48.8742961,2.3300164,Mcdonalds,Fastfood
48.8776636,2.3277702,Pouletbraisé,Fastfood
48.871028,2.3469726,Bollynan,Fastfood
48.8359164,2.4062185,Subway,Fastfood
48.8471787,2.3866836,Mcdonalds,Fastfood
48.8471891,2.3077032,Traiteurasiatique,Fastfood
48.8510712,2.3097402,Leptitministère,Fastfood
48.851385,2.3102048,Apetisegur,Fastfood
48.8732408,2.3533391,Properfriedchicken,Fastfood
48.8795589,2.354257,Subway,Fastfood
48.8796845,2.3543206,Popeyes,Fastfood
48.8503643,2.384972,Yelin,Fastfood
48.8455653,2.3121994,Rosettecornichon,Fastfood
48.876635,2.3353161,Pinpan,Fastfood
48.8244109,2.3255616,Lunchexpress,Fastfood
48.8251412,2.3653488,Tontonlafrite,Fastfood
48.8966206,2.3871195,Mcdonalds,Fastfood
48.8712861,2.3349203,Burgerking,Fastfood
48.8713129,2.3350843,Mcdonalds,Fastfood
48.8469792,2.3690551,Abcdélice,Fastfood
48.8230746,2.3579144,Pizza140,Fastfood
48.879288,2.3773054,Itzik,Fastfood
